nama,reviews,rating
Fadel Risky,Tempatnya asik dan seru ada waiters yang namanya tommy lucu banget klau ketemu dia disana kasih tips pasti dapat cerita lucu,5 bintang
Wanny Wangasal,Makanan dan minumannya mantap 👍 …,5 bintang
Tri Sutrisna SDL,Tempat nongki yg asyik bareng teman dan keluarga,5 bintang
Nurul Fahmy Amri,"Harganya affordable, sea salt caramelnya mantap, suasananya enak gak berisik cocok buat persinggahan melepas lelah habis bekerja seharian.",5 bintang
Wanny Wangasal,Makanan dan minumannya mantap 👍,5 bintang
nadia gaming,Gagal move on dari es the chu onkle john's....segar....recomended,5 bintang
achmad rifai Pandin,"Makanan dan minumannya enak, khususnya pizzanya.
Tapi sudah dua kali seperti tidak dilayani dengan baik, kami minta tempat yg lebar karena akan pesan banyak dan rencana untuk main laptop, namun dikasih meja bulat yang hanya cukup untuk makanan dan minuman.",4 bintang
chabir basir,TEMPAT MINUM KOPI DENGAN KONSEP MODERN BER-AC UNTUK PEROKOK DAN RUANG FULL AC ON SMOOKING MEMBUAT BETAH BERLAMA-LAMA NONGKRONG DI ONKEL JOHN'S COFFEE,4 bintang
Raenalt Asma,"suasana nya enak, dan nyaman",5 bintang
Yanti Hi Nontji,Gorengannya mantap👍 …,5 bintang
Maya Rumantir,Karyawannya ramah dan makannnya enak,5 bintang
Rahma Wati45,"Suasana adem,buat acara ultah,arisan bagus ini, makanannya enak .....",5 bintang
eric tsu,"Roti kaya isiannya sedikit banget, tipis tipis gitu. Kopi onkel johnnya B aja sih, not really my taste.
Saat pembayaran ada pembulatan (ribuan) harga keatas tanpa konfirmasi, meskipun bayar pakai digital payment.",2 bintang
Hadi Purnomo,"Lokasi strategis, tempatnya bagus, hanya saja bagi saya secara pribadi agak kurang nyaman nongkrong di cafe ini",5 bintang
Ibrahim Ms,Good vibes😍 cocok buat nugas apalagi sama doi …,5 bintang
Ibrahim Ms,Good vibes😍 cocok buat nugas apalagi sama doi,5 bintang
Muh Alif,Pelayanan lama sekalai. Ampun ini tempat. Tidak direkomendasi,1 bintang
alniysf,"pelayan nya ramah,barista yg tinggi juga gabteng adem diliat hehe",5 bintang
indri kurniawan,"Tempatnya cozy bgt buat nongkrong ramai2 dan indoor smoking gaes. Service nya ramah2,sopan. Makanan minumannya juga enak. Live musicnya bagus2. Pokoknya nyaman deh😍😍 …",5 bintang
Trisucy Julia,Tempatnya nyaman buat nongkrong...makanannya enak karyawannya asik,5 bintang
tegar abhizar,pelayannya ramah makanannya juga enaki rekomen yg mau santai² smbil ngobrol bareng teman²ny,5 bintang
Nursyahbani Andi nabila,cafenya estetik. suka banget suasana di cafe ini.,5 bintang
Aiza yuri,"Cocok sekali buat nongkrong berdua ataupun rame2...live musicx jg sangat menghibur, makanan dan minumanx jg enak2",5 bintang
Desak Deshi,"Lokasi strategis, tempatnya bagus untuk makan atau sekedar nongkrong bareng teman …",5 bintang
chaidir wibowo,"Suasana, makanan dan layanan sangat superrrrr.  Terima kasih.",5 bintang
Fauzan Fauzia,"Adem dan pelayanan baik, makanannya enak.",5 bintang
indri kurniawan,"Tempatnya cozy bgt buat nongkrong ramai2 dan indoor smoking gaes. Service nya ramah2,sopan. Makanan minumannya juga enak. Live musicnya bagus2. Pokoknya nyaman deh😍😍",5 bintang
Desak Deshi,"Lokasi strategis, tempatnya bagus untuk makan atau sekedar nongkrong bareng teman

Makanannya enak, utamanya Onkel John's Bouillabaise nya

Bagus juga buat tempat meeting, ruangan nya ber AC tapi bisa merokok",5 bintang
Frids Kowombon,Nasi gorengnya enak,5 bintang
Poe Pute,"Suka dengan interiornya, tapi kurang suka kopi susu nya, karena terasa encer. Tapi untk kopi  salt karamel nya enak banget pizza nya ju endullll",4 bintang
Cindy Hasan,bagus,5 bintang
Valerie Arianto,Mantap,5 bintang
Budhi Setiawan,Suasana nyaman utk diskusi dan ngobrol sama kawan.....rekomen utk yg pingin duduk santai ngobrol dan nikmati menu2 yg unik dan segar,5 bintang
Johan Tanuwijaya,Suasana vintage dan industrial nya bagus.. cuma agak banyak nyamuk ya,4 bintang
Sulkifli 1994,"Pelayanan ramah, makanan enak, tempatnya bersih, wc dan mushollannya harum.",5 bintang
