nama,reviews,rating
sissyanti Kaluwulang,Salah satu cafe & Resto dengan setiap sudutnya bisa dipake foto !! Estetik banget !!! 🤍✨❤️‍🔥 bisa karolean kalo dapat dihari livemusic nya on🥳 kerensihh🙌🏻🙌🏻 …,4 bintang
Nur Aswad,Makanan & tempatnya oke,5 bintang
Nurul Hidayah,"Makanannya enak, tempatnya estetik, pelayananya bgs. Yg paling penting ada mushollah walaupun perempuan dan laki2 tdk terpisah.",5 bintang
Rabiatul Adawiyah,"Mantap 👍🏻
Pelayannya ramah2 dan pelayanannya cepat 😊👍🏻
Makanannya dan minumannya enak2 🤍",5 bintang
Andre Michael,"Petugas valet sangat tidak membantu, saya menunggu 30 menit lebih di depan parkiran dalam kondisi saya tidak tau kalau tempat nya punya petugas valet Dan ada Mobil parkir mengahalangi slot parkiran yang kosong ,petugas petugas valetnya tidak punya insiatif sama sekali untuk memberikan bantuan terkait parkiran, padahal saya parkir pas di depan pos valetnya. Saya minta batuan ke teman saya untuk memberikan informasi kepada staff terkait Mobil yang menghalangi parkiran tapi tidak ada tindakan sama sekali, Mobil saya sampai di serempet dengan Mobil lain.
Sound sistemnya bikin sakit telinga tempat bagus sound sistem buruk, suara speaker kresek"".",1 bintang
Joly Zhang,"Makanan enak, tapi untuk menunggu makanan bisa di atas 30 menit dengan keadaan resto sepi. Pesan sphagetti bolognaise 40 menit br jadi. Ini resto ga punya ya SOP brp lama serve makanan? 2x dapat kondisi begini. Pesan pizza 18:20 wita sdh bayar. Saya br terima pizza jam 19:40 wita. Tgl 18 feb 2026 jg sama. Pesan spagheti baru ada 40 menit kemudian. Nda rekomended sih buat datang",1 bintang
sissyanti Kaluwulang,Salah satu cafe & Resto dengan setiap sudutnya bisa dipake foto !! Estetik banget !!! 🤍✨❤️‍🔥 bisa karolean kalo dapat dihari livemusic nya on🥳 kerensihh🙌🏻🙌🏻,4 bintang
Cichi Wihara Baharuddin,"Nambah lagi cafe favorit,  makanan nya enak enak, ada live music nya jg. Cuman kemarin mgk karna padat banget pengunjung jadi makanan nya agak lama, itu aja sih. Selebihnya so far so good.  Oh ya 1 lagi, parkiran nya agak sempit.",5 bintang
Rizky Edy Shafira,"Bahkan bintang 1 terlalu bagus buat review resto ini. Dibiarin nunggu makanan yg sampe 1 jam lebih ga dateng, alesan orderan banyak, gaada info di awal, gaada konfirmasi, tiap ditanya ga balik lg, wasting time. Please pay attention buat …",1 bintang
roni lo vun yin,"Makanan di sana enak-enak. Saat saya cicipi, di makanan tersebut saya rasa tidak mengandung MSG. Karena beda sekali makanan yg mengandung penyedap rasa dan yg tidak. Makanan di sini pasti sangat fresh dan menyehatkan. Minuman di sana juga …",5 bintang
amaliah amir,"Sudah beberapa kali kesini, cocok buat hangout bareng teman. Tempat duduknya banyak, nyaman. Bisa juga untuk yang mau kerjain tugas. …",5 bintang
Nurul Chairany,Suasananya nyaman dengan interior yang cantik. Tapi pasta boscaiola yang kami pesan berbau kambing yang khas dan membuat mual tiap mencium aromanya.,2 bintang
Uleng Utari,"Rekomendasi : Iga Sambal Ijo
Dagingnya empuk dan bumbunya meresap, cuma sambal ijonya kurang pedas.
Nyaman buat nongki sama teman dan keluarga, interiornya keren, pelayanannya oke. Ada ruang outdoor juga.",5 bintang
RESKY RAMADHAN,"Tempatnya cozy, suasananya nyaman,tenang dan dessertnya enak2",5 bintang
Rina Afdhaliah Asri,"makanannya enak, pelayanannya ramah, tempatnya juga nyaman, untuk tempatnya bagus buat foto2. recommended🥇💗✨ …",5 bintang
Basse Herawati,"Mantap tawwa pelayanan dan makanan , yg mau kesini recomend guys ,",5 bintang
Edi Kurniawan M SE,"Secara Tempat Bagus, suasana nyaman tenang bersih dan adem, mudah di jangkau, masukan sedikit, secara, makanannya Penyajiannya Luar biasa, cuma mungkin dirasa harus lebih di perhatikan sedikit.",4 bintang
Rizky Edy Shafira,"Bahkan bintang 1 terlalu bagus buat review resto ini. Dibiarin nunggu makanan yg sampe 1 jam lebih ga dateng, alesan orderan banyak, gaada info di awal, gaada konfirmasi, tiap ditanya ga balik lg, wasting time. Please pay attention buat manager dan owner resto ini, kl gini terus lebih baik restonya tutup aja. Sangat merugikan. Ga professional!",1 bintang
roni lo vun yin,"Makanan di sana enak-enak. Saat saya cicipi, di makanan tersebut saya rasa tidak mengandung MSG. Karena beda sekali makanan yg mengandung penyedap rasa dan yg tidak. Makanan di sini pasti sangat fresh dan menyehatkan. Minuman di sana juga rasa manisnya pas tidak berlebihan. Para pelayan di sana juga sangat hebat, terlatih, dan wawasan atau pengetahuannya terhadap makanan yg ad di restoran sangat luas. Bahkan mereka bisa rekomendasikan makanan dan minuman yg disukai di restoran tersebut. Bahkan pelayan bisa menjelaskan bagaimana rasa dari masakan tersebut. Presentasi makanan sangat berkelas, rapi, dan bersih. Suasana di sana tenang. Sangat disayangkan sekali, makanan yg dipesan tidak berbarengan disajikan dan dibuat dalam waktu yg lama. Bahkan nasi goreng saja, harus menunggu hingga hampir 40 menit untuk bisa disajikan. Alhasil kami sekeluarga tdk berbarengan makanan. Tapi makanan sendiri-sendiri. Ada jeda waktu hampir 20 menit untuk setiap orang. Bahkan nasi goreng, malah terakhir yg disajikan setelah kami semua slesai makan. Padahal harusnya itu makanan yg sangat dasar sekali, yg semestinya lebih cepat disajikan. Timbul pertanyaaan, jika di waktu kunjungan yg tidak ramai seperti saat kami berkunjung hanya terlihat tidak sampai 10 orang, makanan disajikan sangat lama. Bagimana jika restoran dalam kondisi sangat ramai? Misalnya saat tiba waktu berbuka puasa.
Itu saja masukan dan saran saya. Secara keseluruhan semuanya baik. Hanya penyajian makanannya saja.yg lama.",5 bintang
amaliah amir,"Sudah beberapa kali kesini, cocok buat hangout bareng teman. Tempat duduknya banyak, nyaman. Bisa juga untuk yang mau kerjain tugas.

Disini tersedia musholla di lantai 2, mukenanya bersih, toilet juga bersih.

Untuk makanan selalu enak, sebelumnya pernah order kwetiau porsinya besar. Menunya juga beraga jadi bisa cobain satu-satu. Ini coba nasi goreng sambel ijo, rasanya lumayan, porsinya cukup untuk 1 orang.",5 bintang
Rina Afdhaliah Asri,"makanannya enak, pelayanannya ramah, tempatnya juga nyaman, untuk tempatnya bagus buat foto2. recommended🥇💗✨",5 bintang
Ellen Tjandinegara,"Semua makanan nya enak, apa lagi soto Betawi dan pizza nya. Tempat nya selalu bersih, pelayanannya sangat ramah dan siap membantu",5 bintang
Femi Hertanti,"Makananx enak2,minumanx jg oke..worth it antara harga n rasa..selalu kangen utk dtg kembali ke sini..,sy paling suka rhum vanila coffee n pizza salmon..👍👍 …",5 bintang
Beryl Cholif A (Beryl Joe),"1 Grup dengan Grind n Pull. Untuk pilihan menunya cukup banyak. Waktu itu saya di rekomendasikan coba menu barunya, Supnya cukup asin di lidah saya. Kalau untuk 2 minuman yang kami pesan itu udah pass rasanya. Ada Mushollah di lantai 2 meski cukup kecil ya jadi harus antri sholatnya. Pelayanannya juga ramah",5 bintang
Winarni K Suprimardani,"Salah satu cafe yang sangat direkomendasikan di Makassar

Penataan interior modern middle century dengan aksen tropical, memadukan warna …",5 bintang
Nurul Inayah Samman,"Tempat nyaman, pelayanan cepat, makanan enak",5 bintang
Firda Apriliani,"Pelayanannya ramah, tempatnya recomended, makanannya enak ☺️",5 bintang
Oeij Dedy Kwandy,"luas dan nyaman, dekor dan suasana nya sangat bagus . makanan dan minuman sangat bervariasi , ada desserts juga .. parkiran cukup luas .",5 bintang
Marwah Kunoichi,"Makanan enak, suasana nyaman, pelayanan gercep, instagramable (8/10)",5 bintang
Yunita,Sorry makannya terlalu biasa rasanya pdhl tempatnya oke banget. Trus lamaaa skli 40 menit utk 1 menu pdhl gak rame hanya 1 meja terisi,2 bintang
Mwona Lysa,"Malam ini goodfiels tidak siap menghadapi tamu yang banyak, alhasil makanan kluar 1 jam setelah pemesanan.. lamaaa bangettt .. ntah kurang karyawan, kurang chefnya, atau gimana.. pointnya MENGECEWAKAN .",2 bintang
Winarni K Suprimardani,"Salah satu cafe yang sangat direkomendasikan di Makassar

Penataan interior modern middle century dengan aksen tropical, memadukan warna teracota, kayu dan sentuhan hijau. Sehingga terkesan adem dan ceria.

Terdiri dari 2 lantai, indoor dan outdoor. Toilet estetik. Juga tersedia mushalla.

Untuk jenis makanan variatif, ada Indonesian food dan western food. Citarasanya pas. Untuk minuman sangat berwarna.",5 bintang
Jess Luck,"Cita rasa makanan mantap 👍
Suasana dan tempat nyaman.
Cuman kekurangan fasilitas tempat parkiran.. …",5 bintang
Dhea Karel,"Untuk makanannya enak Bangett plus bahan bahan yang di pake emang bener2 fresh, terus servicenya juga mantul dan terakhir buat suasana di sana oke juga",5 bintang
Minminc Lim,Makanan juga ok dan harga juga worth it,4 bintang
Yulisah Hasibuan,"Suasananya bagus banget,, pelayanan cepat",5 bintang
Citra Ayu Lestari,Makanannya enak parkirnya ga terlalu luas lokasi strategis tempatnya bagus ada smooking area untuk harga masih standar cafe di mks cukup recommended,4 bintang
iyan _,"Tempatnya cozy,nyaman untuk bersantai makan dan minumannya enak",5 bintang
itobil firmansyah,Utk rasa makanan enak.. burger nya mantap.. minuman juga enak.. memang pricey cuma worth it lah.. dan ternyata 1 grup dengan Grind&Pull jadi ya mirip2 style nya..,4 bintang
afifah rifa,"Menunggu makanan 1,5 jam lebih belum keluar. Padahal resto lgi tdk rame",1 bintang
Lisah T,"Makanan indo sih mayan2 enak kyk iga bakar ama sop buntut.
Kwetiao was very salty and a bit watery. …",5 bintang
kago sigma,"Makanannya enak, servicenya juga bagus. Well recommended ! Suasananya juga bagus, bisa ambil banyak foto disini!",5 bintang
Jess Luck,"Cita rasa makanan mantap 👍
Suasana dan tempat nyaman.
Cuman kekurangan fasilitas tempat parkiran..",5 bintang
Lisah T,"Makanan indo sih mayan2 enak kyk iga bakar ama sop buntut.
Kwetiao was very salty and a bit watery.

Salad was okay.",5 bintang
Eka Saktiani,"Makanannya Enak, dan Minumannya Segar2
Utk pelayanan sya ksih bintang 3 (krn pelayanannya kurang ramah) …",5 bintang
Achan Malik,"Tau tempat ini dr sejak br buka awal thn 2022, Lama gak kesini rasanya ga berubah, tetap enak. Pizza dan Ice Thai Tea nya masih yg terbaik 👍 …",5 bintang
Marchel TM,"tempatnya okay, makanan juga okay, pelayananya okay. jadi ovel all okay buat kesini. Jarang ada cafe cantik makannya enak, tapi disini makanannya enak2 🫶🏻 …",4 bintang
Herdianto Ciuandi,"Makanannya enak"" semua dan terjangkau, aplg vip no min order 🙌 …",5 bintang
Shanty Susanti Hadini,"Makanan, pelayanan, tempat dan over all bagus banget",5 bintang
Johannes Chananta,"Best, pelayannya selalu senyum, profesional, dan punya inisiatif yg baik",5 bintang
Inny Caumen,"Cafe dengan interior mewah, menunya bervariasi, pelayanan bagus, cocok untuk kalangan menengah dan atas",4 bintang
Rahma Indah Sari,"Makanan enak2, harga affordable, ambiance oke, service cepat",5 bintang
WIDYA ASTUTI,"Makanannya enak , tapi minumannya agak kurang. Pilihan makanan juga beragam",5 bintang
Makmur Jaya,"Tempat nongkrong yang enak dengan parkiran yang luas, tata ruang dan pelayanan juga bagus. Tempat ini menjadi salah satu yang recommended untuk melaksanakan pertemuan santai dengan jumlah besar",4 bintang
Eka Saktiani,"Makanannya Enak, dan Minumannya Segar2
Utk pelayanan sya ksih bintang 3 (krn pelayanannya kurang ramah)

Utk suasanya Indoornya sngat recomended utk yg Family Friendly , atau yg lgi kencan (Mau lunch atau Dinner)✌🏻",5 bintang
Achan Malik,"Tau tempat ini dr sejak br buka awal thn 2022, Lama gak kesini rasanya ga berubah, tetap enak. Pizza dan Ice Thai Tea nya masih yg terbaik 👍",5 bintang
